DEPTH,CAL,CNC,CVOL,DT,GR,PE,RD,RMSL,RS,SPBR,ZCOR,ZDEN,Cluster,Vshale,Porosity
1392.174,8.835,45.148,3.681,125.544,118.293,4.231,2.357,0.511,1.91,111.835,0.072,2.312,3,0.5095225265678791,0.20484848484848492
1392.25,8.848,42.848,3.68,123.309,118.239,6.165,2.444,0.537,1.968,111.538,0.107,2.366,3,0.5091992216734023,0.172121212121212
1392.326,8.865,43.46,3.679,120.137,116.521,7.373,2.576,0.587,2.064,111.236,0.173,2.449,3,0.49891333632689716,0.12181818181818187
1392.403,8.885,45.033,3.678,116.592,112.133,7.483,2.748,0.661,2.193,110.931,0.034,2.527,3,0.4726418200868133,0.07454545454545441
1392.479,8.906,43.725,3.676,113.056,105.462,6.354,2.944,0.798,2.346,110.625,-0.034,2.61,3,0.43270169136356834,0.024242424242424267
1392.555,8.924,40.448,3.675,109.669,98.835,4.784,3.145,1.077,2.506,110.321,0.028,2.63,3,0.39302499625804516,0.012121212121212133
1392.631,8.937,38.898,3.674,106.554,94.111,3.737,3.328,1.548,2.654,110.025,-0.025,2.605,3,0.3647418051189942,0.02727272727272723
1392.707,8.943,39.994,3.673,103.927,92.86,3.215,3.471,1.809,2.773,109.738,-0.02,2.522,3,0.35725190839694654,0.07757575757575765
1392.784,8.944,41.928,3.672,102.264,96.76,3.044,3.561,1.548,2.849,109.461,0.11,2.467,3,0.38060170633138757,0.11090909090909082
1392.86,8.946,42.648,3.67,102.039,104.776,3.109,3.592,1.292,2.879,109.191,0.093,2.396,3,0.4285945217781769,0.15393939393939396
1392.936,8.952,42.028,3.669,103.216,113.735,3.087,3.57,1.189,2.864,108.924,0.088,2.368,3,0.4822331986229606,0.17090909090909093
1393.012,8.966,42.335,3.668,105.228,120.036,3.254,3.51,1.166,2.818,108.654,0.055,2.352,3,0.5199580901062715,0.18060606060606063
1393.088,8.985,44.738,3.667,107.273,122.513,3.197,3.433,1.178,2.756,108.376,0.063,2.364,3,0.5347882053584793,0.17333333333333337
1393.165,9.006,46.256,3.666,108.778,124.654,3.359,3.355,1.223,2.692,108.089,0.026,2.374,3,0.5476066457117198,0.16727272727272716
1393.241,9.025,43.934,3.664,109.686,128.529,3.309,3.288,1.315,2.636,107.792,0.04,2.385,3,0.5708067654542733,0.1606060606060607
1393.317,9.041,39.864,3.663,110.34,132.262,3.143,3.233,1.455,2.59,107.49,0.034,2.399,3,0.5931567130669061,0.15212121212121207
1393.393,9.052,37.708,3.662,111.158,133.09,3.082,3.187,1.603,2.553,107.189,0.078,2.405,3,0.5981140547822182,0.14848484848484855
1393.469,9.062,38.851,3.661,112.42,131.144,2.777,3.143,1.624,2.519,106.897,0.074,2.41,3,0.5864631043256998,0.1454545454545453
1393.546,9.079,42.389,3.659,114.132,128.585,2.853,3.098,1.425,2.485,106.625,0.003,2.393,3,0.5711420446041012,0.15575757575757584
1393.622,9.11,46.141,3.658,115.921,126.362,2.792,3.052,1.15,2.449,106.38,0.111,2.371,3,0.5578326597814698,0.16909090909090904
1393.698,9.166,49.139,3.657,117.445,124.797,2.784,3.006,0.981,2.413,106.169,0.12,2.351,3,0.548462804969316,0.18121212121212119
1393.774,9.253,51.098,3.655,118.751,122.966,2.695,2.963,0.922,2.379,105.989,0.108,2.322,3,0.5375003741954797,0.1987878787878787
1393.85,9.367,51.424,3.654,120.122,121.141,2.872,2.925,0.866,2.352,105.834,0.265,2.344,3,0.5265738661876965,0.18545454545454548
1393.927,9.494,50.526,3.652,121.559,119.593,3.034,2.896,0.745,2.333,105.698,0.244,2.321,3,0.517305792546026,0.19939393939393923
1394.003,9.616,50.82,3.651,122.489,117.48,3.19,2.878,0.644,2.324,105.569,0.252,2.307,3,0.5046549917676995,0.20787878787878789
1394.079,9.712,53.644,3.649,122.304,114.027,3.107,2.875,0.604,2.326,105.441,0.263,2.3,3,0.48398143990420595,0.21212121212121218
1394.155,9.763,56.466,3.647,121.042,110.343,3.003,2.888,0.583,2.34,105.306,0.221,2.318,3,0.46192486154767254,0.20121212121212112
1394.231,9.758,56.596,3.646,119.298,108.638,2.705,2.917,0.545,2.367,105.163,0.18,2.332,3,0.451716808860949,0.19272727272727277
1394.308,9.702,54.211,3.644,117.488,109.197,2.701,2.957,0.517,2.406,105.01,0.131,2.35,3,0.4550636132315522,0.1818181818181817
